,Community,Degree
1404083303,208,8
2102005516,208,8
1850003,209,1
2067648,32,9
2102128,210,3
2351339,210,2
2613599,32,4
2614720,32,3
2919700,32,3
3007704,32,2
3032967,32,2
3176152,209,1
3204201,32,3
3241012,32,1
8545082,32,3
35641138,211,1
37179453,32,2
39962145,210,2
50030433,210,3
52134309,32,2
73693267,32,2
83781167,211,2
114834302,211,1
118869521,32,4
143880910,32,2
145217058,32,5
2059123293,32,3
1721340,212,2
145322920,212,2
152902698,212,2
2049963,213,0
2889457,214,0
144592382,169,2
151392839,169,2
1722362,149,1
1722555,215,5
2587832,215,5
3738223,215,5
11145464,215,5
84705648,215,5
145037957,215,5
1722564,216,5
1872433,216,5
2226805,216,5
2673368,216,5
145183095,216,5
2055828330,216,5
1722782,121,4
1838739,121,4
2470869,121,4
1723195,43,11
1795135,43,16
3216248,43,4
3252562,43,4
35137595,37,12
40506946,43,4
40522291,43,7
50101870,43,4
50451342,43,4
118400138,43,9
144027066,43,1
1404214415,43,4
1723308,218,1
2161986,218,1
1723349,4,2
2448878,4,6
1724024,219,2
51313840,219,2
2111834365,219,2
1724134,220,1
2037649,220,1
1724158,221,2
30745824,221,2
151473437,221,2
1724429,222,1
38556322,222,1
1724571,223,2
32094768,223,2
120304897,223,2
1725126,0,3
1820184,0,2
2747350,0,2
1725336,9,2
1897680,9,2
6452115,9,10
1725537,224,2
39755631,224,2
144539424,224,2
1725559,225,2
1770705,225,3
3045478,225,3
1725644,226,5
1803509,226,3
2218968,226,2
2695891,226,3
37722121,226,2
66456162,226,6
2157480,152,9
49471480,30,2
50571574,152,1
89020589,227,0
1727071,228,3
2115001,228,3
34742804,228,3
47631888,228,3
32584303,229,3
37784060,229,1
1505837278,229,2
2065333595,229,2
1727724,230,2
3204875,230,2
47770787,230,2
1727835,231,3
2525715,231,3
33772810,231,6
2110626549,231,3
1727998,232,2
2201173,232,1
143676697,232,1
1728207,57,12
1747580,57,3
1946641,57,10
2354072,57,5
2580777,57,3
2698864,57,4
2909360,57,5
3391180,57,5
7451997,57,5
9207147,57,1
145781376,57,4
1962720861,57,3
2108818929,57,3
1737486,26,4
1739489,233,0
1774514,4,6
2704289,4,3
3468616,4,11
7565754,4,5
34039293,4,7
36162262,4,5
39976743,4,5
40598011,4,3
145187738,26,2
1471839943,4,7
2061493427,4,2
1728462,234,1
1839624,234,1
1728602,9,2
2284695,9,2
40549154,9,5
1728749,136,1
1729346,235,4
5126674,235,4
5225213,235,5
40456370,235,4
2108810688,235,4
1729484,236,2
1735402,236,2
3001795,236,2
1729566,121,5
2469517,121,5
35497150,57,6
1730156,237,1
2152472,237,1
1730404,238,5
2067699,238,1
5213974,238,4
40515879,238,4
123024911,238,4
143756774,238,4
47951846,239,0
1737204,240,5
1769361,240,8
1785079,240,5
3168790,240,5
32158897,240,5
40051508,240,5
1730904,241,2
2943813,241,2
144925193,241,2
2083295,156,6
3393230,156,2
10348489,156,2
31931269,156,6
79692915,156,6
102583371,156,3
143812946,156,2
1403798561,156,8
1412454618,156,6
2059986211,156,6
1731707,242,1
2399803,242,2
1732728,243,3
39871022,243,3
2068905928,243,2
2109973178,243,2
1732947,244,1
1808400,244,1
1733113,245,4
1751591,245,3
9356351,245,3
52344913,245,3
145173790,245,1
1796314,4,4
1931731,26,12
1993659,4,1
2055648,4,2
2222586,4,3
2288762,4,1
2618549,4,4
2939899,4,4
3241784,246,1
6199827,4,1
6541695,4,1
9651432,4,2
29870496,4,1
31796970,4,1
40798235,247,0
143921708,248,0
144988054,246,2
145249172,37,8
145444219,26,4
1388020502,4,1
1389555445,26,4
2101349323,246,1
1805026,0,6
1733586,121,5
34047556,121,5
1389629901,121,9
1733795,20,2
2052438731,20,2
1733840,64,4
1806767,64,2
3293575,64,7
145954464,64,3
1388812429,64,7
2332920,113,2
70319369,113,2
1734224,249,2
1787790,249,2
2967099,249,2
1734288,57,5
1889171,57,9
22233689,57,5
144563714,57,9
1405330966,57,5
2109775093,57,5
1734676,37,4
1757944,37,4
3245150,37,4
8275800,37,4
34090368,37,6
1735272,32,5
3442014,32,5
38386698,32,5
38488481,32,5
138631055,32,5
1735860,250,0
1736067,251,2
1750769,251,2
49462969,251,2
1773651,252,0
1797290,253,1
1798452,254,8
1908199,254,8
2038895,255,1
2337255,254,8
2412908,255,1
2628487,254,8
2924784,253,1
37621877,254,8
46506705,254,8
83325839,254,8
145658858,254,8
2109467612,254,8
